Service,Category,Description,Code,Link
Spotify,Music,3 months free trial,SPOTIFY2025,https://www.spotify.com/us/signup?code=SPOTIFY2025
Uber Eats,Food,Get $15 off your first order,EATS-123456,https://www.ubereats.com/invite/EATS-123456
DigitalOcean,Cloud,$200 credit for new users,DO200,https://m.do.co/c/1234567890ab
Amazon,Shopping,10% off selected items,AMZN10,https://www.amazon.com/
Netflix,Entertainment,First month 50% off,NETFLIX50,https://www.netflix.com/
Notion,Productivity,$10 credit,NOTION10,https://www.notion.so/
Revolut,Finance,Free card delivery,REV-FREE,https://revolut.com/referral/user123
Dropbox,Storage,500MB bonus space,DBOW123,https://db.tt/12345678
Airbnb,Travel,$50 off your first trip,TRAVEL50,https://www.airbnb.com/c/user123
FoodPanda,Food,Free delivery on first 3 orders,FP-FREE,https://www.foodpanda.com/
